waveem,flux
5.686418e+03,2.024232e+00
5.684620e+03,1.884437e+00
5.682822e+03,1.866483e+00
5.681024e+03,1.891608e+00
5.679227e+03,1.852581e+00
5.677429e+03,1.854379e+00
5.675631e+03,1.965840e+00
5.673833e+03,1.962425e+00
5.672035e+03,1.977844e+00
5.670237e+03,1.918364e+00
5.668439e+03,1.947684e+00
5.666641e+03,1.885998e+00
5.664843e+03,1.731708e+00
5.663045e+03,1.888833e+00
5.661247e+03,1.908078e+00
5.659450e+03,2.020276e+00
5.657652e+03,1.845028e+00
5.655854e+03,2.043760e+00
5.654056e+03,1.951614e+00
5.652258e+03,1.855076e+00
5.650460e+03,1.994176e+00
5.648662e+03,1.904071e+00
5.646864e+03,1.947228e+00
5.645066e+03,1.833041e+00
5.643268e+03,1.933996e+00
5.641470e+03,1.839865e+00
5.639672e+03,1.899060e+00
5.637875e+03,1.758017e+00
5.636077e+03,1.798072e+00
5.634279e+03,1.704080e+00
5.632481e+03,1.783310e+00
5.630683e+03,1.909054e+00
5.628885e+03,1.892686e+00
5.627087e+03,1.832131e+00
5.625289e+03,1.824158e+00
5.623491e+03,1.774173e+00
5.621693e+03,1.946547e+00
5.619895e+03,2.004311e+00
5.618098e+03,1.870172e+00
5.616300e+03,1.806525e+00
5.614502e+03,1.827947e+00
5.612704e+03,1.838013e+00
5.610906e+03,1.847790e+00
5.609108e+03,1.902305e+00
5.607310e+03,1.844152e+00
5.605512e+03,2.042251e+00
5.603714e+03,1.946992e+00
5.601916e+03,1.805744e+00
5.600118e+03,1.759217e+00
5.598321e+03,1.812586e+00
5.596523e+03,1.761982e+00
5.594725e+03,1.768960e+00
5.592927e+03,1.789478e+00
5.591129e+03,1.663526e+00
5.589331e+03,1.802258e+00
5.587533e+03,1.755298e+00
5.585735e+03,1.895232e+00
5.583937e+03,1.773223e+00
5.582139e+03,1.780068e+00
5.580341e+03,1.896167e+00
5.578543e+03,1.683401e+00
5.576746e+03,1.825867e+00
5.574948e+03,1.856072e+00
5.573150e+03,1.884646e+00
5.571352e+03,1.819559e+00
5.569554e+03,1.632694e+00
5.567756e+03,1.758828e+00
5.565958e+03,1.916994e+00
5.564160e+03,1.853501e+00
5.562362e+03,1.790518e+00
5.560564e+03,1.742514e+00
5.558766e+03,1.748694e+00
5.556969e+03,1.848249e+00
5.555171e+03,1.863529e+00
5.553373e+03,1.885431e+00
5.551575e+03,1.831587e+00
5.549777e+03,1.854173e+00
5.547979e+03,1.746619e+00
5.546181e+03,1.806627e+00
5.544383e+03,1.807487e+00
5.542585e+03,1.790607e+00
5.540787e+03,1.810293e+00
5.538989e+03,1.858391e+00
5.537191e+03,1.782741e+00
5.535394e+03,1.819068e+00
5.533596e+03,1.830701e+00
5.531798e+03,1.802982e+00
5.530000e+03,1.770691e+00
5.528202e+03,1.883886e+00
5.526404e+03,1.794611e+00
5.524606e+03,1.772880e+00
